author_id,author,genre_id
1,DK,7
2,Kristin Ramsdell,2
3,National Geographic Maps,3
4,Richard Hofstadter,4
5,Jim Fay,5
6,Timothy Zahn,6
7,Patricia Cornwell,6
8,Frederik Pohl,6
9,Jack Williamson,6
10,David Hatcher Childress,1
11,Sandra Markle,7
12,Bruce M. Nash,7
13,Allan Zullo,7
14,Jack Higgins,6
16,Tanith Lee,6
17,Juliet Marillier,6
18,Philip José Farmer,6
19,Jean Marzollo,7
20,Walter Wick,7
21,Rosamunde Pilcher,6
22,Johann Wolfgang von Goethe,6
23,Madison Smartt Bell,6
24,DK Travel,10
25,Abraham Lincoln,4
26,Thomas Paine,4
27,Howard Zinn,4
28,Lonely Planet,10
29,Michael Benanav,10
30,Joe Bindloss,10
31,Lindsay Brown,10
32,Stuart Butler,10
33,Mark Elliott,10
34,Paul Harding,10
35,Trent Holden,10
36,Anirban Mahapatra,10
37,Bradley Mayhew,10
38,Daniel McCrohan,10
39,John Noble,10
40,Kevin Raub,10
41,Sarina Singh,10
42,Iain Stewart,10
43,Isabella Noble,10
44,Edgar Allan Poe,6
45,Gwen Bristow,6
46,Daniel Goleman,12
47,Will Durant,4
48,Ariel Durant,4
49,Ogden Nash,6
50,Stanley Morison,2
52,Jean-Paul Sartre,27
54,Piers Anthony,6
55,David Remnick,11
56,Jean M. Auel,6
57,H. Rider Haggard,6
58,Primo Levi,16
59,Mercer Mayer,15
60,Cassie Edwards,6
61,Stormie Omartian,14
62,Edgar Rice Burroughs,6
63,Dean Koontz,6
64,Scott Adams,17
65,Martín Perazzo,17
66,Philippa Gregory,6
67,John Matthews,4
68,Charles R. Swindoll,14
69,Jacques Derrida,27
70,Musée du Louvre,8
71,Bernard Malamud,6
72,Hugh Lofting,15
73,Ambrose Bierce,6
74,Alan Dean Foster,6
75,James Baldwin,6
76,Coleman Barks,21
77,Solomon Northup,16
78,Larry Niven,6
79,Poul Anderson,6
80,Paul Chafe,6
81,Hal Colebatch,6
82,Jack Kerouac,6
83,R. D. Blackmore,6
85,Jerusha Hull McCormack,20
86,Christopher Lasch,4
87,Gerald Durrell,6
88,Dorothy Canfield Fisher,6
89,Rand McNally and Company (NA),3
90,Rand McNally and Company,3
91,John Christopher,15
92,Stephen King,6
93,Robert J. Randisi,6
94,David Weber,6
95,Norman Bridwell,15
96,Ben M. Baglio,15
97,Rumer Godden,6
98,James Clavell,6
99,Inc. Fodor's Travel Publications,10
100,Fodor's,10
101,Franklin W. Dixon,15
102,Frederick Douglass,16
103,Michael Meyer,2
104,Jonathan R. Eller,16
105,Ray Bradbury,6
106,William F. Touponce,16
107,Kent State University Press,16
108,Anne Morand,8
109,Daniel C. Swan,8
110,Kevin Smith,22
111,Sarah Erwin,8
112,Yukio Mishima,6
113,Jennifer Blake,6
114,David Halberstam,39
115,Robert Frost,21
116,Eric Flint,6
117,Richard Roach,22
118,Arthur W. Upfield,6
119,Alexander Elder,12
120,Wilbur Smith,6
121,Robert Wolgemuth,14
122,A. G. Smith,7
123,Josie Hazen,7
124,Mercedes Lackey,6
125,Dave Freer,6
126,David Horowitz,16
127,Arthur Conan Doyle,6
128,Dover,9
129,Patricia Telesco,1
130,Don Waterhawk,23
131,Terry Pratchett,6
132,Charles Dickens,6
133,Ralph M. Kovel,24
134,Terry H. Kovel,24
135,Insight Guides,10
136,Ed Tittel,25
137,Kim Lindros,25
138,Charles Simic,21
139,David Morrell,6
140,Sigmund Freud,26
141,Activity Books,7
142,Frances Hesselbein,12
143,Marshall Goldsmith,12
144,Iain Somerville,12
145,Gore Vidal,6
146,Walt Whitman,21
147,Melody Carlson,15
148,Rona Jaffe,6
149,Tom Stienstra,10
150,Stephani Stienstra,10
151,Arthur W. Pink,14
152,Robert G. Weiner,20
153,Stanley Hauerwas,14
154,Bertrice Small,6
155,Maggie Shayne,6
156,D. H. Lawrence,6
157,Henry Miller,6
158,Shams al-Dīn Aḥmad Aflākī,27
159,Jalāl al-Dīn Rūmī (Maulana),21
160,P.G. Wodehouse,6
161,George Orwell,6
162,Ernest C. Ackermann,25
164,Anne Rice,6
165,Anne Rampling,6
166,Charlotte Perkins Gilman,6
167,John Ortberg,14
168,Henry James,6
169,John Hollander,21
170,Jeanne Betancourt,15
171,James Joyce,6
172,Friedrich Nietzsche,27
173,Leo Tolstoy,6
174,Alexander McCall Smith,6
175,Eric Tyson,12
176,Rick Riordan,15
177,Erich Fromm,27
178,Karl Marx,27
179,Gabriel García Márquez,6
180,Corey Sandler,10
181,Michael Lawrence,10
182,Geoffrey Chaucer,21
183,Mark R. Levin,18
184,Ernest Thompson Seton,15
185,Richard Webster,1
186,Langston Hughes,16
187,General Press,6
188,Evelyn Waugh,6
189,Princeton Review (Firm),29
190,Nevil Shute,6
191,Arnold Bennett,6
192,Migene González-Wippler,1
193,John Ayto,2
194,John Simpson,2
195,Michelin Travel Publications,10
196,Fyodor Dostoevsky,6
197,John Kenneth Galbraith,12
198,Harry W. Schaumburg,14
199,The Navigators,14
200,Katherine Applegate,15
201,Mary Daheim,6
202,Ann Rinaldi,15
203,Hal Leonard Corp,23
204,Hal Leonard Corp. Staff,23
205,Various,22
206,John Bunyan,6
207,Italo Svevo,6
208,Halbert W. Hall,2
209,Richard D. Bartlett,37
210,Patricia Pope Bartlett,28
211,Bill Hybels,14
212,Kevin & Sherry Harney,14
213,Brad Steiger,1
214,Microsoft Corporation,25
215,Zane Grey,6
216,Rudolf Steiner,14
217,Herbert Lockyer,14
218,Dante Alighieri,21
219,Sophocles,13
220,Pope John Paul II,14
221,Broadman & Holman Publishers,14
222,Napoleon Hill,32
223,Gary Null,43
224,Shelly Null,33
225,Catherine Cookson,6
226,Nick Galifianakis,8
227,Bill Watterson,22
228,David Apatoff,8
229,R. Buckminster Fuller,34
230,Bertrand Russell,27
231,Elizabeth Taylor,6
232,James Taylor Dunn,16
233,Danielle Steel,6
234,Joseph Conrad,6
235,Pablo Picasso,8
236,Daniel Henry Kahnweiler,8
237,Anton Chekhov,6
238,Rollo May,26
239,Warren W. Wiersbe,14
240,Dylan Thomas,6
241,Thomas Mann,6
242,David Feldman,3
243,Richard Bach,35
244,Muriel Spark,6
245,René Descartes,27
246,Henry Wadsworth Longfellow,21
247,Marty Noble,7
248,Joshua Noble,7
249,Hal Leonard Publishing Corporation,23
250,Jenny Dale,15
251,Diana Wynne Jones,15
252,Rudyard Kipling,6
253,Ernst Cassirer,27
254,Fred Saberhagen,6
255,Jennifer Kushell,12
256,Lee Child,6
257,Jesse Stuart,16
258,Ann M. Martin,15
259,Sara Orwig,6
260,Steve Chandler,5
261,Jack London,6
262,William Faulkner,6
263,Isa Maron,6
264,Rosemary Wells,15
265,Anne Perry,6
266,Elton John,23
267,John Steinbeck,6
268,Peter Alilunas,36
269,Betty Crocker,33
270,Alice Walker,6
271,Michael Moorcock,6
272,John Ross,37
273,Barbara McKinney,37
274,Carole Marsh,7
